name,height_cm,reach_in,stance,DOB
Albert Tumenov,180.34,73.0,Orthodox,1991-12-26
Alberto Crane,165.1,,Orthodox,1976-07-14
Alberto Mina,182.88,77.0,Orthodox,1982-05-02
Alberto Uda,190.5,,Orthodox,1984-08-08
Alden Coria,172.72,67.0,Orthodox,1998-04-24
Alejandro Perez,167.64,67.0,Orthodox,1989-09-02
Aleksa Camur,185.42,74.0,Orthodox,1995-09-25
Aleksandar Rakic,193.04,78.0,Orthodox,1992-02-06
Aleksandra Albu,157.48,63.0,Orthodox,1990-07-14
Aleksandre Topuria,170.18,68.0,Orthodox,1996-01-28
Aleksei Kunchenko,172.72,70.0,Orthodox,1984-05-02
Aleksei Oleinik,187.96,80.0,Orthodox,1977-06-20
Alen Amedovski,177.8,74.0,Orthodox,1988-04-06
Alessandro Costa,162.56,67.0,Orthodox,1996-01-28
Alessio Di Chirico,182.88,74.0,Orthodox,1989-12-12
Alessio Sakara,182.88,72.0,Orthodox,1981-09-02
Alex Caceres,177.8,73.0,Southpaw,1988-06-20
Alex Chambers,160.02,63.0,Southpaw,1978-10-25
Alex Da Silva,172.72,73.0,Orthodox,1996-02-04
Alex Garcia,175.26,72.0,Orthodox,1987-07-14
Alex Gorgees,187.96,74.0,Switch,1995-08-11
Alex Karalexis,172.72,66.0,Orthodox,1977-09-20
Alex Morono,180.34,72.0,Orthodox,1990-08-16
Alex Nicholson,193.04,77.0,Orthodox,1990-05-02
Alex Oliveira,180.34,76.0,Orthodox,1988-02-21
Alex Pereira,193.04,79.0,Orthodox,1987-07-07
Alex Perez,167.64,65.0,Orthodox,1992-03-21
Alex Reyes,180.34,73.0,Orthodox,1986-10-02
Alex Ricci,180.34,,Orthodox,1982-07-21
Alex Schoenauer,190.5,,Orthodox,1976-05-05
Alex Soto,172.72,,Southpaw,1984-02-15
Alex Torres,177.8,,Orthodox,1988-05-29
Alex White,182.88,71.0,Southpaw,1988-10-22
Alexa Grasso,165.1,66.0,Orthodox,1993-08-09
Alexander Gustafsson,195.58,79.0,Orthodox,1987-01-15
Alexander Hernandez,175.26,72.0,Orthodox,1992-10-01
Alexander Munoz,175.26,72.0,Switch,1990-02-27
Alexander Volkanovski,167.64,71.0,Orthodox,1988-09-29
Alexander Volkov,200.66,80.0,Orthodox,1988-10-24
Alexander Yakovlev,190.5,74.0,Southpaw,1984-07-18
Alexandr Romanov,187.96,75.0,Southpaw,1990-12-11
Alexandre Barros,175.26,,Southpaw,1976-11-19
Alexandre Dantas,187.96,,Orthodox,1979-03-01
Alexandre Ferreira,170.18,,Orthodox,1979-04-25
Alexandre Pantoja,165.1,67.0,Orthodox,1990-04-16
Alexia Thainara,162.56,67.0,Orthodox,1995-11-20
Alexis Davis,167.64,68.0,Orthodox,1984-10-04
Alexis Dufresne,175.26,,Orthodox,1990-08-31
Ali AlQaisi,167.64,68.0,Orthodox,1990-09-23
Ali Bagautinov,162.56,65.0,Orthodox,1985-06-10
Aliaskhab Khizriev,175.26,74.0,Southpaw,1990-08-24
Alibi Idiris,167.64,68.0,Orthodox,1994-10-22
Alice Ardelean,160.02,62.0,Orthodox,1992-04-19
Alice Pereira,172.72,71.0,Orthodox,2005-12-20
Alistair Overeem,193.04,80.0,Orthodox,1980-05-17
Aljamain Sterling,170.18,71.0,Orthodox,1989-07-31
Allan Nascimento,172.72,69.0,Orthodox,1991-09-11
Allan Zuniga,170.18,70.0,Orthodox,1992-04-04
Allen Berube,172.72,,Orthodox,1974-08-25
Allen Crowder,190.5,76.0,Orthodox,1989-11-08
Allen Frye Jr.,195.58,80.0,Orthodox,1998-04-15
Alonzo Menifield,182.88,76.0,Orthodox,1987-10-18
Alptekin Ozkilic,165.1,65.0,Orthodox,1986-03-27
Alvaro Herrera Mendoza,182.88,74.0,Orthodox,1990-05-14
Alvin Hines,187.96,74.0,Orthodox,1991-10-20
Alvin Robinson,175.26,68.0,Southpaw,1982-07-16
Amanda Cooper,160.02,64.0,Switch,1991-10-22
Amanda Lemos,162.56,65.0,Southpaw,1987-05-22
Amanda Nunes,172.72,69.0,Orthodox,1988-05-30
Amanda Ribas,162.56,66.0,Orthodox,1993-08-26
Amar Suloev,175.26,,Orthodox,1976-07-01
Amilcar Alves,182.88,,Southpaw,1988-08-08
Amir Albazi,165.1,68.0,Orthodox,1993-10-27
Amir Sadollah,177.8,75.0,Orthodox,1980-08-27
Anderson Dos Santos,165.1,70.0,Orthodox,1985-07-24
Anderson Silva,187.96,77.0,Southpaw,1975-04-14
Andre Ewell,172.72,75.0,Southpaw,1988-01-21
Andre Fialho,182.88,74.0,Orthodox,1994-04-07
Andre Fili,180.34,74.0,Orthodox,1990-06-25
Andre Gusmao,182.88,,Orthodox,1977-05-19
Andre Lima,170.18,67.0,Orthodox,1999-02-04
Andre Muniz,185.42,78.0,Southpaw,1990-02-17
Andre Petroski,182.88,73.0,Switch,1991-06-12
Andre Soukhamthath,175.26,70.0,Orthodox,1988-10-23
Andre Winner,180.34,73.0,Orthodox,1981-11-09
Andrea Lee,167.64,69.0,Orthodox,1989-02-11
Andreas Gustafsson,185.42,73.0,Orthodox,1991-02-20
Andreas Michailidis,182.88,76.0,Orthodox,1988-07-18
Andreas Stahl,180.34,,Orthodox,1988-05-20
Andrei Arlovski,190.5,77.0,Orthodox,1979-02-04
Andrei Semenov,182.88,,Orthodox,1977-06-17
Andrew Craig,185.42,76.0,Orthodox,1986-01-15
Andrew Holbrook,180.34,70.0,Southpaw,1986-02-06
Andrew Sanchez,185.42,74.0,Orthodox,1988-04-08
Andrey Pulyaev,193.04,78.0,Southpaw,1997-09-10
Andy Enz,190.5,78.0,Orthodox,1991-08-15
Andy Ogle,172.72,69.0,Orthodox,1989-02-16
Andy Wang,167.64,,Orthodox,1977-05-28
Ange Loosa,177.8,74.0,Orthodox,1993-03-18
Angel Pacheco,172.72,70.0,Orthodox,1992-01-13
Angela Hill,160.02,64.0,Orthodox,1985-01-12
Angela Magana,154.94,65.0,Orthodox,1983-08-02
Anistavio Medeiros,167.64,,Orthodox,1988-05-01
Anna Elmose,160.02,,Orthodox,1984-10-06
Ansar Chalangov,175.26,,Orthodox,1979-10-30
Anshul Jubli,182.88,69.0,Switch,1995-01-13
Ante Delija,190.5,78.0,Orthodox,1990-08-07
Anthony Birchak,172.72,69.0,Orthodox,1986-05-16
Anthony Christodoulou,175.26,,Orthodox,1987-07-30
Anthony Hamilton,195.58,76.0,Orthodox,1980-04-14
Anthony Hernandez,182.88,75.0,Orthodox,1993-10-18
Anthony Ivy,187.96,74.0,Orthodox,1990-01-23
Anthony Johnson,187.96,78.0,Orthodox,1984-03-06
Anthony Lapsley,175.26,,Southpaw,1980-02-13
Anthony Njokuani,185.42,75.0,Orthodox,1980-03-01
Anthony Perosh,190.5,75.0,Orthodox,1972-10-05
Anthony Pettis,177.8,72.0,Orthodox,1987-01-27
Anthony Rocco Martin,182.88,73.0,Orthodox,1989-12-11
Anthony Smith,193.04,76.0,Orthodox,1988-07-26
Anthony Torres,172.72,,Orthodox,1978-07-31
Anton Kuivanen,172.72,72.0,Orthodox,1984-05-01
Anton Turkalj,193.04,78.0,Orthodox,1996-06-10
Anton Zafir,180.34,,Orthodox,1987-05-10
Antoni Hardonk,193.04,78.0,Orthodox,1976-02-05
Antonina Shevchenko,172.72,67.0,Southpaw,1984-11-20
Antonio Arroyo,190.5,73.0,Orthodox,1989-07-01
Antonio Banuelos,165.1,63.0,Orthodox,1979-09-23
Antonio Braga Neto,190.5,77.0,Orthodox,1987-10-29
Antonio Carlos Junior,187.96,79.0,Orthodox,1990-03-16
Antonio Carvalho,175.26,70.0,Orthodox,1979-05-30
Antonio Dos Santos,177.8,,Orthodox,1988-07-21
Antonio McKee,172.72,,Southpaw,1970-03-12
Antonio Mendes,190.5,77.0,Southpaw,1981-04-19
Antonio Rodrigo Nogueira,190.5,77.0,Orthodox,1976-06-02
Antonio Silva,193.04,82.0,Orthodox,1979-09-14
Antonio Trocoli,195.58,80.0,Orthodox,1990-12-06
Anying Wang,182.88,,Orthodox,1991-04-04
Aoriqileng,170.18,69.0,Orthodox,1993-06-25
Ariane Carnelossi,157.48,61.0,Orthodox,1992-11-17
Ariane da Silva,167.64,67.0,Orthodox,1994-01-26
Ariel Beck,167.64,66.0,Southpaw,1990-09-16
Arjan Bhullar,185.42,75.0,Orthodox,1986-05-13
Arman Tsarukyan,170.18,72.0,Orthodox,1996-10-11
Armen Petrosyan,190.5,71.0,Orthodox,1990-11-03
Arnold Allen,172.72,70.0,Southpaw,1994-01-22
Artem Lobov,175.26,65.0,Southpaw,1986-08-11
Ashkan Mokhtarian,167.64,67.0,Southpaw,1985-09-15
Ashlee Evans-Smith,172.72,67.0,Orthodox,1987-07-09
Ashley Yoder,170.18,69.0,Southpaw,1987-10-20
Askar Askarov,167.64,67.0,Orthodox,1992-10-09
Askar Mozharov,190.5,74.0,Orthodox,1994-10-26
Aspen Ladd,167.64,66.0,Orthodox,1995-03-01
Assuerio Silva,177.8,,Orthodox,1974-06-18
Asu Almabayev,162.56,65.0,Orthodox,1994-01-25
Ateba Gautier,193.04,81.0,Switch,2002-04-10
Augusto Mendes,167.64,65.0,Orthodox,1983-03-03
Augusto Montano,185.42,73.0,Orthodox,1984-10-25
Augusto Sakai,190.5,77.0,Orthodox,1991-05-09
Austen Lane,198.12,80.0,Orthodox,1987-11-09
Austin Arnett,182.88,72.0,Orthodox,1991-10-22
Austin Bashi,167.64,70.0,Orthodox,2001-09-29
Austin Hubbard,177.8,71.0,Orthodox,1991-12-22
Austin Lingo,177.8,70.0,Orthodox,1994-07-10
Austin Springer,172.72,71.0,Orthodox,1987-05-12
Austin Vanderford,180.34,74.0,Orthodox,1990-03-21
Axel Sola,187.96,74.0,Southpaw,1997-09-17
Azamat Bekoev,182.88,72.0,Orthodox,1995-12-30
Azamat Gashimov,167.64,,Orthodox,1990-04-07
Azamat Murzakanov,177.8,71.0,Southpaw,1989-04-12
Azat Maksum,170.18,70.0,Southpaw,1995-02-02
Azunna Anyanwu,185.42,,Orthodox,1981-08-05
BJ Penn,175.26,70.0,Orthodox,1978-12-13
Baergeng Jieleyisi,175.26,71.0,Orthodox,1995-11-24
Baisangur Susurkaev,187.96,79.0,Orthodox,2001-01-08
Barb Honchak,162.56,65.0,Orthodox,1979-08-30
Bart Palaszewski,175.26,70.0,Orthodox,1983-05-30
Bartosz Fabinski,182.88,75.0,Orthodox,1986-04-26
Bassil Hafez,180.34,72.0,Orthodox,1992-01-31
Batgerel Danaa,170.18,70.0,Orthodox,1989-07-04
Bea Malecki,175.26,74.0,Orthodox,1991-08-23
Bec Rawlings,167.64,64.0,Orthodox,1989-02-11
Bekzat Almakhan,170.18,68.0,Orthodox,1997-10-08
Belal Muhammad,180.34,72.0,Orthodox,1988-07-09
Ben Alloway,180.34,76.0,Orthodox,1981-02-19
Ben Askren,180.34,73.0,Orthodox,1984-07-18
Ben Nguyen,165.1,65.0,Switch,1988-08-03
Ben Rothwell,193.04,78.0,Orthodox,1981-10-17
Ben Saunders,187.96,77.0,Orthodox,1983-04-13
Ben Sosoli,182.88,72.0,Southpaw,1989-12-10
Ben Wall,177.8,,Orthodox,1989-03-25
Benardo Sopaj,167.64,66.0,Orthodox,2000-09-25
Beneil Dariush,177.8,72.0,Southpaw,1989-05-06
Benito Lopez,177.8,73.0,Switch,1994-04-06
Benji Radach,177.8,,Orthodox,1979-04-05
Benoit Saint Denis,180.34,73.0,Southpaw,1995-12-18
Benson Henderson,175.26,70.0,Southpaw,1983-11-16
Bentley Syler,162.56,,Orthodox,1982-12-22
Bernardo Magalhaes,175.26,,Orthodox,1981-04-08
Besam Yousef,180.34,,Orthodox,1985-03-25
Bethe Correia,165.1,64.0,Orthodox,1983-06-22
Bevon Lewis,190.5,79.0,Orthodox,1991-05-05
Bharat Kandare,170.18,72.0,Orthodox,1987-06-20
Bia Mesquita,162.56,67.0,Orthodox,1991-04-07
Bibulatov Magomed,165.1,65.0,Orthodox,1988-08-22
Bill Algeo,182.88,73.0,Switch,1989-06-09
Bill Mahood,190.5,,Orthodox,1967-02-01
Billy Elekana,190.5,77.0,Southpaw,1995-05-28
Billy Miles,177.8,,Orthodox,1978-04-28
Billy Quarantillo,177.8,70.0,Orthodox,1988-12-08
Billy Ray Goff,177.8,72.0,Switch,1998-06-18
Blagoy Ivanov,180.34,73.0,Southpaw,1986-10-09
Blake Bilder,172.72,68.0,Switch,1990-07-12
Blood Diamond,180.34,76.0,Switch,1988-07-10
Bo Nickal,185.42,76.0,Southpaw,1996-01-14
Bobby Hoffman,187.96,,Orthodox,1968-10-28
Bobby Moffett,177.8,73.0,Orthodox,1990-06-01
Bobby Nash,182.88,74.0,Orthodox,1990-03-26
Bobby Southworth,187.96,,Orthodox,1969-12-16
Bobby Voelker,182.88,74.0,Orthodox,1979-04-26
Bogdan Grad,172.72,70.0,Orthodox,1995-09-28
Bogdan Guskov,190.5,76.0,Orthodox,1992-09-12
Bojan Mihajlovic,180.34,73.0,Orthodox,1980-03-30
Bojan Velickovic,182.88,76.0,Southpaw,1988-12-18
Bolaji Oki,177.8,73.0,Orthodox,1995-11-15
Boston Salmon,175.26,69.0,Southpaw,1990-11-20
Brad Blackburn,177.8,73.0,Orthodox,1977-05-25
Brad Imes,200.66,,Orthodox,1977-03-13
Brad Katona,167.64,64.0,Orthodox,1991-12-19
Brad Morris,187.96,,Orthodox,1979-11-01
Brad Pickett,167.64,68.0,Orthodox,1978-09-24
Brad Riddell,170.18,71.0,Orthodox,1991-09-30
Brad Scott,185.42,76.0,Orthodox,1989-06-24
Brad Tavares,185.42,74.0,Orthodox,1987-12-21
Brady Hiestand,172.72,71.0,Orthodox,1999-04-30
Branden Lee Hinkle,190.5,,Orthodox,1973-07-29
Brando Pericic,195.58,79.0,Orthodox,1994-08-03
Brandon Davis,177.8,72.0,Orthodox,1990-05-08
Brandon Jenkins,182.88,71.0,Switch,1991-09-30
Brandon Melendez,180.34,,Southpaw,1983-03-24
Brandon Moreno,170.18,70.0,Orthodox,1993-12-07
Brandon Royval,175.26,68.0,Southpaw,1992-08-16
Brandon Thatch,187.96,74.0,Switch,1985-07-11
Brandon Vera,190.5,78.0,Orthodox,1977-10-10
Brandon Wolff,175.26,,Orthodox,1975-10-18
Braxton Smith,180.34,72.0,Orthodox,1990-01-01
Brendan Allen,187.96,75.0,Orthodox,1995-12-28
Brendan Loughnane,177.8,70.0,Switch,1989-12-05
Brendan O'Reilly,170.18,69.0,Orthodox,1987-06-24
Brendan Schaub,193.04,78.0,Orthodox,1983-03-18
Brendon Marotte,175.26,70.0,Orthodox,1996-01-12
Brendson Ribeiro,190.5,81.0,Orthodox,1996-09-08
Brett Johns,170.18,71.0,Orthodox,1992-02-21
Brian Bowles,170.18,70.0,Orthodox,1980-06-22
Brian Camozzi,187.96,78.0,Orthodox,1991-06-24
Brian Cobb,180.34,,Orthodox,1980-09-03
Brian Ebersole,182.88,73.0,Southpaw,1980-11-27
Brian Foster,175.26,71.0,Orthodox,1984-04-03
Brian Gassaway,185.42,,Orthodox,1972-08-07
Brian Geraghty,170.18,,Orthodox,1980-11-04
Brian Houston,187.96,,Orthodox,1981-04-26
Brian Kelleher,167.64,66.0,Switch,1986-08-19
Brian Melancon,172.72,,Orthodox,1982-05-28
Brian Ortega,172.72,69.0,Switch,1991-02-21
Brian Stann,185.42,74.0,Orthodox,1980-09-24
Brianna Fortino,152.4,62.0,Southpaw,1993-08-04
Bristol Marunde,185.42,75.0,Orthodox,1982-04-20
Brock Jardine,180.34,,Orthodox,1985-07-10
Brock Larson,180.34,71.0,Southpaw,1977-08-23
Brock Lesnar,190.5,81.0,Orthodox,1977-07-12
Brodie Farber,185.42,,Orthodox,1980-07-05
Brogan Walker,162.56,67.0,Switch,1988-08-02
Brok Weaver,182.88,73.0,Southpaw,1991-12-05
Bruna Brasil,167.64,65.0,Orthodox,1993-09-07
Brunno Ferreira,177.8,72.0,Orthodox,1992-11-04
Bruno Korea,167.64,65.0,,1991-06-28
Bruno Lopes,187.96,74.0,Orthodox,1993-04-24
Bruno Santos,175.26,,Orthodox,1987-07-17
Bruno Silva,182.88,74.0,Orthodox,1989-07-13
Bruno Souza,177.8,70.0,Orthodox,1996-03-07
Bryan Barberena,182.88,72.0,Southpaw,1989-05-03
Bryan Battle,185.42,77.0,Orthodox,1994-09-21
Bryan Caraway,172.72,68.0,Orthodox,1984-08-04
Bryce Mitchell,177.8,70.0,Southpaw,1994-10-04
Bubba Bush,182.88,,Orthodox,1985-07-24
Buddy Roberts,187.96,,Orthodox,1982-10-17
Byron Bloodworth,172.72,,Orthodox,1983-08-16
CB Dollaway,187.96,76.0,Orthodox,1983-08-10
CJ Keith,182.88,,Orthodox,1986-08-09
CJ Vergara,167.64,68.0,Orthodox,1991-06-18
CM Punk,185.42,73.0,Orthodox,1978-10-26
Cain Carrizosa,172.72,,Orthodox,1986-07-22
Cain Velasquez,185.42,77.0,Orthodox,1982-07-28
Caio Borralho,185.42,75.0,Southpaw,1993-01-16
Caio Machado,193.04,78.0,Southpaw,1994-07-20
Caio Magalhaes,185.42,73.0,Orthodox,1987-12-14
Cale Yarbrough,185.42,,Orthodox,1986-12-27
Callan Potter,182.88,72.0,Orthodox,1984-06-09
Calvin Kattar,180.34,72.0,Orthodox,1988-03-26
Cam Rowston,190.5,78.0,Orthodox,1995-01-19
Cameron Dollar,180.34,,Orthodox,1987-05-12
Cameron Else,175.26,71.0,Switch,1987-04-27
Cameron Saaiman,172.72,67.0,Southpaw,2000-12-20
Cameron Smotherman,175.26,69.0,Orthodox,1997-09-17
Cameron VanCamp,187.96,74.0,Switch,1993-04-27
Caol Uno,170.18,70.0,Southpaw,1975-05-08
Caolan Loughran,167.64,68.0,Orthodox,1996-05-18
Carl Deaton,170.18,69.0,Orthodox,1989-11-24
Carla Esparza,154.94,63.0,Orthodox,1987-10-10
Carli Judice,170.18,68.0,Southpaw,1999-03-02
Carlo Pedersoli Jr.,180.34,75.0,Southpaw,1993-06-08
Carlo Prater,180.34,72.0,Switch,1981-06-25
Carlos Candelario,172.72,68.0,Southpaw,1991-06-04
Carlos Condit,187.96,75.0,Orthodox,1984-04-26
Carlos Eduardo Rocha,177.8,73.0,Orthodox,1981-07-12
Carlos Felipe,182.88,75.0,Orthodox,1995-01-12
Carlos Hernandez,172.72,67.0,Orthodox,1993-10-25
Carlos Huachin,162.56,67.0,Southpaw,1996-06-04
Carlos Leal,180.34,74.0,Orthodox,1994-05-04
Carlos Mota,162.56,69.0,Orthodox,1995-04-15
Carlos Newton,175.26,,Orthodox,1976-08-17
Carlos Prates,185.42,78.0,Switch,1993-08-17
Carlos Ulberg,193.04,77.0,Orthodox,1990-11-07
Carlos Vera,167.64,69.0,Orthodox,1987-11-05
Carls John De Tomas,165.1,71.0,Southpaw,1996-08-28
Carlston Harris,182.88,76.0,Orthodox,1987-07-09
Carlton Minus,177.8,75.0,Orthodox,1993-04-26
Carmelo Marrero,182.88,73.0,Orthodox,1981-01-26
Caros Fodor,175.26,74.0,Orthodox,1984-01-07
Casey Kenney,170.18,68.0,Southpaw,1991-03-20
Casey O'Neill,167.64,69.0,Orthodox,1997-10-07
Cat Zingano,167.64,68.0,Southpaw,1982-07-01
Cathal Pendred,185.42,75.0,Orthodox,1987-09-02
Cesar Almeida,185.42,74.0,Orthodox,1988-03-28
Cesar Arzamendia,180.34,,Orthodox,1991-01-31
Cezar Ferreira,185.42,78.0,Southpaw,1985-02-15
Cezary Oleksiejczuk,190.5,75.0,Southpaw,2000-01-06
Chad Anheliger,167.64,64.0,Orthodox,1986-12-01
Chad Griggs,185.42,73.0,Orthodox,1978-05-15
Chad Laprise,177.8,71.0,Orthodox,1986-07-23
Chad Mendes,167.64,66.0,Orthodox,1985-05-01
Chad Reiner,180.34,,Orthodox,1981-06-29
Chael Sonnen,185.42,73.0,Southpaw,1977-04-03
Chan Sung Jung,170.18,72.0,Orthodox,1987-03-17
Chan-Mi Jeon,165.1,,Orthodox,1997-08-28
Chance Rencountre,187.96,75.0,Southpaw,1986-12-31
ChangHo Lee,172.72,69.0,Orthodox,1994-05-09
Charalampos Grigoriou,170.18,67.0,Orthodox,1992-03-31
Charles Byrd,177.8,73.0,Orthodox,1983-10-11
Charles Johnson,175.26,70.0,Switch,1991-01-10
Charles Jourdain,175.26,69.0,Switch,1995-11-27
Charles McCarthy,177.8,71.0,Orthodox,1980-08-06
Charles Oliveira,177.8,74.0,Orthodox,1989-10-17
Charles Radtke,175.26,72.0,Orthodox,1990-07-09
Charles Rosa,175.26,69.0,Switch,1986-08-24
Charlie Brenneman,177.8,70.0,Orthodox,1981-02-09
Charlie Campbell,182.88,72.0,Orthodox,1995-07-03
Charlie Ontiveros,187.96,74.0,Switch,1991-07-04
Charlie Valencia,160.02,64.0,Orthodox,1974-10-31
Charlie Ward,180.34,,Orthodox,1980-12-17
Chas Skelly,180.34,72.0,Orthodox,1985-05-11
Chase Gormley,190.5,,Orthodox,1983-08-11
Chase Hooper,185.42,74.0,Southpaw,1999-09-13
Chase Sherman,193.04,78.0,Orthodox,1989-11-16
Che Mills,185.42,76.0,Orthodox,1982-09-29
Cheick Kongo,193.04,82.0,Orthodox,1975-05-17
Chelsea Chandler,172.72,68.0,Southpaw,1990-11-23
Chepe Mariscal,170.18,69.0,Orthodox,1992-10-27
Cheyanne Vlismas,160.02,63.0,Switch,1995-06-25
Chico Camus,167.64,66.0,Orthodox,1985-01-26
Chidi Njokuani,190.5,80.0,Orthodox,1988-12-31
Chris Avila,177.8,,Orthodox,1993-01-16
Chris Barnett,175.26,75.0,Orthodox,1986-06-14
Chris Beal,170.18,69.0,Orthodox,1985-08-06
Chris Brennan,172.72,,Orthodox,1971-10-12
Chris Camozzi,187.96,75.0,Orthodox,1986-11-20
Chris Cariaso,160.02,64.0,Southpaw,1981-05-27
Chris Clements,177.8,70.0,Orthodox,1976-02-09
Chris Cope,182.88,72.0,Orthodox,1983-03-05
Chris Curtis,177.8,75.0,Orthodox,1987-07-15
Chris Daukaus,190.5,76.0,Orthodox,1989-09-25
Chris Dempsey,177.8,72.0,Orthodox,1987-09-08
Chris Duncan,177.8,71.0,Orthodox,1993-05-10
Chris Fishgold,172.72,68.0,Orthodox,1992-06-06
Chris Gruetzemacher,172.72,68.0,Orthodox,1986-06-16
Chris Gutierrez,175.26,67.0,Orthodox,1991-04-22
Chris Haseman,180.34,,Orthodox,1969-06-02
Chris Heatherly,175.26,,Orthodox,1987-11-24
Chris Holdsworth,180.34,,,1987-10-24
Chris Indich,177.8,,,1987-04-22
Chris Kelades,170.18,68.0,Orthodox,1981-02-21
Chris Leben,180.34,73.0,Southpaw,1980-07-21
Chris Liguori,175.26,,Orthodox,
Chris Lytle,180.34,68.0,Orthodox,1974-08-18
Chris Padilla,175.26,74.0,Orthodox,1995-09-14
Chris Price,187.96,,Southpaw,1982-11-09
Chris Sanford,180.34,,Orthodox,1968-03-12
Chris Saunders,172.72,,,1986-03-11
Chris Spang,187.96,,Orthodox,1987-11-26
Chris Tickle,175.26,,,1982-02-01
Chris Tuchscherer,187.96,76.0,Orthodox,1975-09-08
Chris Wade,177.8,70.0,Orthodox,1987-09-30
Chris Weidman,187.96,78.0,Orthodox,1984-06-17
Chris Wilson,185.42,75.0,Orthodox,1977-06-07
Chris de la Rocha,190.5,80.0,Orthodox,1979-05-15
Christian Aguilera,175.26,72.0,Switch,1991-11-25
Christian Colombo,195.58,,Orthodox,1980-07-01
Christian Leroy Duncan,187.96,79.0,Switch,1995-07-24
Christian Morecraft,198.12,81.0,Orthodox,1986-09-08
Christian Rodriguez,170.18,71.0,Orthodox,1997-12-17
Christian Wellisch,187.96,77.0,Orthodox,1975-09-13
Christina Marks,170.18,69.0,Orthodox,1985-11-08
Christos Giagos,177.8,71.0,Orthodox,1990-01-23
Chuck Liddell,187.96,76.0,Orthodox,1969-12-17
Chuck O'Neil,187.96,,,1985-09-22
Cindy Dandois,170.18,,Orthodox,1984-10-26
Ciryl Gane,193.04,81.0,Orthodox,1990-04-12
Claude Patrick,180.34,75.0,Orthodox,1980-06-14
Claudia Gadelha,162.56,63.0,Orthodox,1988-12-07
Claudio Puelles,177.8,72.0,Southpaw,1996-04-21
Claudio Ribeiro,185.42,77.0,Orthodox,1992-07-17
Claudio Silva,180.34,71.0,Southpaw,1982-09-06
Clay Collard,180.34,73.0,Orthodox,1993-03-10
Clay Guida,170.18,70.0,Orthodox,1981-12-08
Clay Harvison,185.42,74.0,Orthodox,1980-09-25
Clayton Carpenter,167.64,66.0,Orthodox,1996-06-09
Clifford Starks,182.88,78.0,Orthodox,1981-04-25
Clint Hester,187.96,77.0,Orthodox,1986-11-21
Cody Brundage,182.88,72.0,Orthodox,1994-05-16
Cody Donovan,190.5,74.0,Orthodox,1981-02-20
Cody Durden,170.18,67.0,Southpaw,1991-03-29
Cody East,190.5,,Orthodox,1988-06-29
Cody Garbrandt,172.72,65.0,Orthodox,1991-07-07
Cody Gibson,177.8,71.0,Orthodox,1987-09-11
Cody Haddon,170.18,69.0,Orthodox,1998-09-08
Cody McKenzie,182.88,72.0,Switch,1987-12-16
